Variables = x, y, u, v, p

Zone, I=1000, F=POINT
          50            0  2.60692e-18 -6.78802e-30    -0.008974 
          50      1.08216     0.555233  0.000389967  -0.00897319 
          50      1.10027     0.563565  0.000401954  -0.00897318 
          50      1.11853     0.571905   0.00041415  -0.00897316 
          50      1.13695     0.580248  0.000426552  -0.00897315 
          50      1.15551     0.588593  0.000439157  -0.00897313 
          50      1.17422     0.596936  0.000451961  -0.00897311 
          50      1.19308     0.605273  0.000464962   -0.0089731 
          50      1.21209     0.613601  0.000478155  -0.00897308 
          50      1.23126     0.621917  0.000491534  -0.00897306 
          50      1.25057     0.630217  0.000505097  -0.00897305 
          50      1.27004     0.638497  0.000518837  -0.00897303 
          50      1.28965     0.646753  0.000532749  -0.00897301 
          50      1.30941     0.654983  0.000546826  -0.00897299 
          50      1.32933     0.663182  0.000561063  -0.00897297 
          50      1.34939     0.671346  0.000575453  -0.00897295 
          50      1.36961     0.679472  0.000589989  -0.00897293 
          50      1.38997     0.687556  0.000604663  -0.00897291 
          50      1.41049     0.695593  0.000619467  -0.00897289 
          50      1.43116      0.70358  0.000634393  -0.00897287 
          50      1.45197     0.711512  0.000649432  -0.00897285 
          50      1.47294     0.719387  0.000664576  -0.00897283 
          50      1.49406     0.727199  0.000679814  -0.00897281 
          50      1.51533     0.734945  0.000695138  -0.00897278 
          50      1.53674      0.74262  0.000710536  -0.00897276 
          50      1.55831     0.750222     0.000726  -0.00897274 
          50      1.58003     0.757746  0.000741518  -0.00897272 
          50       1.6019     0.765188  0.000757079  -0.00897269 
          50      1.62392     0.772544  0.000772671  -0.00897267 
          50      1.64609      0.77981  0.000788284  -0.00897264 
          50      1.66841     0.786984  0.000803905  -0.00897262 
          50      1.69088      0.79406  0.000819522  -0.00897259 
          50       1.7135     0.801036  0.000835123  -0.00897256 
          50      1.73627     0.807908  0.000850697  -0.00897254 
          50      1.75919     0.814673  0.000866229  -0.00897251 
          50      1.78226     0.821327  0.000881708  -0.00897248 
          50      1.80548     0.827868  0.000897121  -0.00897245 
          50      1.82885     0.834292  0.000912455  -0.00897243 
          50      1.85237     0.840596  0.000927698   -0.0089724 
          50      1.87605     0.846778  0.000942836  -0.00897237 
          50      1.89987     0.852835  0.000957858  -0.00897234 
          50      1.92384     0.858765  0.000972749  -0.00897231 
          50      1.94796     0.864565    0.0009875  -0.00897227 
          50      1.97224     0.870234    0.0010021  -0.00897224 
          50      1.99666     0.875769   0.00101653  -0.00897221 
          50      2.02124     0.881169   0.00103078  -0.00897218 
          50      2.04596     0.886432   0.00104484  -0.00897215 
          50      2.07084     0.891557    0.0010587  -0.00897211 
          50      2.09586     0.896543   0.00107235  -0.00897208 
          50      2.12104     0.901389   0.00108578  -0.00897204 
          50      2.14636     0.906094   0.00109898  -0.00897201 
          50      2.17184     0.910658   0.00111193  -0.00897197 
          50      2.19746     0.915081   0.00112464  -0.00897194 
          50      2.22324     0.919362   0.00113708   -0.0089719 
          50      2.24917     0.923502   0.00114926  -0.00897186 
          50      2.27524     0.927501   0.00116116  -0.00897182 
          50      2.30147      0.93136   0.00117278  -0.00897178 
          50      2.32785      0.93508   0.00118411  -0.00897175 
          50      2.35438     0.938661   0.00119515  -0.00897171 
          50      2.38105     0.942105   0.00120589  -0.00897167 
          50      2.40788     0.945414   0.00121632  -0.00897163 
          50      2.43486     0.948589   0.00122645  -0.00897159 
          50      2.46199     0.951631   0.00123627  -0.00897154 
          50      2.48927     0.954543   0.00124578   -0.0089715 
          50       2.5167     0.957327   0.00125498  -0.00897146 
          50      2.54428     0.959986   0.00126386  -0.00897142 
          50      2.57201     0.962521   0.00127243  -0.00897138 
          50      2.59989     0.964936   0.00128068  -0.00897133 
          50      2.62792     0.967233   0.00128863  -0.00897129 
          50       2.6561     0.969415   0.00129626  -0.00897124 
          50      2.68444     0.971485   0.00130358   -0.0089712 
          50      2.71292     0.973447    0.0013106  -0.00897115 
          50      2.74155     0.975303   0.00131732   -0.0089711 
          50      2.77033     0.977056   0.00132374  -0.00897105 
          50      2.79927     0.978711   0.00132987  -0.00897101 
          50      2.82835      0.98027   0.00133571  -0.00897096 
          50      2.85758     0.981737   0.00134127  -0.00897091 
          50      2.88697     0.983115   0.00134656  -0.00897087 
          50       2.9165     0.984407   0.00135158  -0.00897082 
          50      2.94618     0.985618   0.00135633  -0.00897077 
          50      2.97602     0.986751   0.00136083  -0.00897072 
          50        3.006     0.987809   0.00136508  -0.00897067 
          50      3.03614     0.988795   0.00136909  -0.00897063 
          50      3.06642     0.989714   0.00137288  -0.00897058 
          50      3.09686     0.990567   0.00137644  -0.00897053 
          50      3.12744      0.99136   0.00137978  -0.00897048 
          50      3.15818     0.992094   0.00138292  -0.00897043 
          50      3.18907     0.992773   0.00138587  -0.00897038 
          50      3.22011       0.9934   0.00138863  -0.00897033 
          50      3.25129     0.993979    0.0013912  -0.00897028 
          50      3.28263     0.994511   0.00139361  -0.00897023 
          50      3.31412        0.995   0.00139586  -0.00897018 
          50      3.34576     0.995449   0.00139795  -0.00897013 
          50      3.37754      0.99586   0.00139989  -0.00897008 
          50      3.40948     0.996236    0.0014017  -0.00897003 
          50      3.44157     0.996578   0.00140338  -0.00896998 
          50      3.47381     0.996891   0.00140493  -0.00896992 
          50       3.5062     0.997175   0.00140637  -0.00896987 
          50      3.53874     0.997432    0.0014077  -0.00896981 
          50      3.57143     0.997666   0.00140893  -0.00896975 
          50      3.60427     0.997877   0.00141006  -0.00896969 
          50      3.63726     0.998067   0.00141111  -0.00896963 
          50       3.6704     0.998239   0.00141207  -0.00896957 
          50       3.7037     0.998394   0.00141296  -0.00896951 
          50      3.73714     0.998532   0.00141378  -0.00896945 
          50      3.77073     0.998656   0.00141454  -0.00896939 
          50      3.80447     0.998767   0.00141524  -0.00896933 
          50      3.83837     0.998866   0.00141588  -0.00896928 
          50      3.87241     0.998954   0.00141648  -0.00896923 
          50       3.9066     0.999032   0.00141703  -0.00896918 
          50      3.94095     0.999102   0.00141755  -0.00896914 
          50      3.97544     0.999164   0.00141804  -0.00896911 
          50      4.01008     0.999218   0.00141851  -0.00896909 
          50      4.04488     0.999266   0.00141894  -0.00896907 
          50      4.07982     0.999308   0.00141934  -0.00896905 
          50      4.11492     0.999345   0.00141975  -0.00896901 
          50      4.15016     0.999377   0.00142015  -0.00896896 
          50      4.18556     0.999406   0.00142046  -0.00896888 
          50       4.2211     0.999431   0.00142075   -0.0089688 
          50       4.2568     0.999453   0.00142104  -0.00896872 
          50      4.29265     0.999471   0.00142133  -0.00896863 
          50      4.32864     0.999487    0.0014216  -0.00896854 
          50      4.36479     0.999502   0.00142185  -0.00896846 
          50      4.40109     0.999514    0.0014221  -0.00896839 
          50      4.43754     0.999524   0.00142234  -0.00896832 
          50      4.47413     0.999534   0.00142256  -0.00896827 
          50      4.51088     0.999541   0.00142278  -0.00896821 
          50      4.54778     0.999548   0.00142299  -0.00896816 
          50      4.58483     0.999554   0.00142319  -0.00896811 
          50      4.62203     0.999559   0.00142338  -0.00896805 
          50      4.65938     0.999563   0.00142357    -0.008968 
          50      4.69688     0.999567   0.00142375  -0.00896795 
          50      4.73453      0.99957   0.00142394  -0.00896789 
          50      4.77233     0.999573   0.00142412  -0.00896784 
          50      4.81028     0.999576   0.00142431  -0.00896778 
          50      4.84838     0.999578    0.0014245  -0.00896772 
          50      4.88663     0.999579   0.00142469  -0.00896766 
          50      4.92504     0.999581   0.00142489   -0.0089676 
          50      4.96359     0.999582   0.00142508  -0.00896753 
          50      5.00229     0.999583   0.00142528  -0.00896747 
          50      5.04114     0.999584   0.00142548  -0.00896741 
          50      5.08014     0.999585   0.00142567  -0.00896734 
          50       5.1193     0.999586   0.00142587  -0.00896728 
          50       5.1586     0.999587   0.00142605  -0.00896722 
          50      5.19806     0.999588   0.00142624  -0.00896716 
          50      5.23766     0.999588   0.00142642   -0.0089671 
          50      5.27741     0.999589    0.0014266  -0.00896704 
          50      5.31732      0.99959   0.00142679  -0.00896698 
          50      5.35737      0.99959   0.00142698  -0.00896692 
          50      5.39758     0.999591   0.00142718  -0.00896685 
          50      5.43793     0.999591   0.00142739  -0.00896679 
          50      5.47844     0.999592    0.0014276  -0.00896673 
          50       5.5191     0.999592    0.0014278  -0.00896667 
          50       5.5599     0.999592   0.00142797  -0.00896661 
          50      5.60086     0.999593   0.00142807  -0.00896656 
          50      5.64197     0.999593   0.00142834  -0.00896647 
          50      5.68322     0.999594   0.00142856   -0.0089664 
          50      5.72463     0.999594   0.00142876  -0.00896633 
          50      5.76619     0.999595   0.00142895  -0.00896626 
          50       5.8079     0.999595   0.00142913  -0.00896619 
          50      5.84976     0.999595   0.00142931  -0.00896613 
          50      5.89177     0.999596   0.00142949  -0.00896607 
          50      5.93393     0.999596   0.00142968  -0.00896601 
          50      5.97623     0.999596   0.00142988  -0.00896594 
          50      6.01869     0.999597   0.00143009  -0.00896588 
          50       6.0613     0.999597    0.0014303  -0.00896581 
          50      6.10406     0.999598   0.00143051  -0.00896575 
          50      6.14698     0.999598   0.00143073  -0.00896568 
          50      6.19004     0.999598   0.00143094  -0.00896561 
          50      6.23325     0.999599   0.00143115  -0.00896554 
          50      6.27661     0.999599   0.00143136  -0.00896548 
          50      6.32012       0.9996   0.00143156  -0.00896541 
          50      6.36378       0.9996   0.00143176  -0.00896534 
          50      6.40759       0.9996   0.00143196  -0.00896528 
          50      6.45156     0.999601   0.00143216  -0.00896521 
          50      6.49567     0.999601   0.00143235  -0.00896515 
          50      6.53993     0.999602   0.00143255  -0.00896508 
          50      6.58435     0.999602   0.00143274  -0.00896501 
          50      6.62891     0.999602   0.00143294  -0.00896494 
          50      6.67363     0.999603   0.00143316  -0.00896489 
          50      6.71849     0.999603   0.00143338  -0.00896483 
          50      6.76351     0.999604    0.0014336  -0.00896477 
          50      6.80867     0.999604   0.00143382   -0.0089647 
          50      6.85399     0.999604   0.00143404  -0.00896463 
          50      6.89945     0.999604   0.00143426  -0.00896456 
          50      6.94507     0.999605   0.00143447  -0.00896449 
          50      6.99083     0.999605   0.00143467  -0.00896442 
          50      7.03675     0.999605   0.00143487  -0.00896434 
          50      7.08282     0.999606   0.00143507  -0.00896427 
          50      7.12904     0.999606   0.00143528   -0.0089642 
          50       7.1754     0.999607   0.00143549  -0.00896413 
          50      7.22192     0.999607   0.00143571  -0.00896406 
          50      7.26859     0.999607   0.00143594  -0.00896399 
          50      7.31541     0.999608   0.00143618  -0.00896392 
          50      7.36238     0.999608    0.0014364  -0.00896386 
          50       7.4095     0.999609   0.00143659  -0.00896378 
          50      7.45677     0.999609   0.00143679  -0.00896371 
          50      7.50418     0.999609   0.00143705  -0.00896364 
          50      7.55175      0.99961   0.00143728  -0.00896358 
          50      7.59948      0.99961    0.0014375  -0.00896351 
          50      7.64735      0.99961   0.00143771  -0.00896344 
          50      7.69537     0.999611   0.00143793  -0.00896338 
          50      7.74354     0.999611   0.00143814  -0.00896331 
          50      7.79186     0.999612   0.00143836  -0.00896325 
          50      7.84033     0.999612   0.00143858  -0.00896318 
          50      7.88895     0.999613   0.00143881  -0.00896311 
          50      7.93773     0.999613   0.00143905  -0.00896304 
          50      7.98665     0.999613   0.00143929  -0.00896298 
          50      8.03572     0.999614   0.00143953  -0.00896291 
          50      8.08494     0.999614   0.00143977  -0.00896283 
          50      8.13432     0.999614   0.00144002  -0.00896276 
          50      8.18384     0.999615   0.00144026  -0.00896269 
          50      8.23352     0.999615    0.0014405  -0.00896261 
          50      8.28334     0.999615   0.00144074  -0.00896253 
          50      8.33332     0.999615   0.00144097  -0.00896246 
          50      8.38344     0.999616   0.00144121  -0.00896238 
          50      8.43372     0.999616   0.00144145   -0.0089623 
          50      8.48414     0.999617   0.00144169  -0.00896222 
          50      8.53472     0.999617   0.00144194  -0.00896215 
          50      8.58544     0.999617   0.00144218  -0.00896203 
          50      8.63632     0.999617   0.00144242  -0.00896191 
          50      8.68735     0.999618   0.00144267  -0.00896181 
          50      8.73852     0.999618   0.00144292  -0.00896172 
          50      8.78985     0.999619   0.00144316  -0.00896163 
          50      8.84133     0.999619   0.00144341  -0.00896156 
          50      8.89296      0.99962   0.00144366  -0.00896148 
          50      8.94474      0.99962   0.00144391  -0.00896141 
          50      8.99667     0.999621   0.00144416  -0.00896134 
          50      9.04875     0.999621   0.00144441  -0.00896127 
          50      9.10097     0.999621   0.00144465  -0.00896119 
          50      9.15335     0.999622    0.0014449  -0.00896112 
          50      9.20588     0.999622   0.00144514  -0.00896105 
          50      9.25856     0.999622   0.00144538  -0.00896097 
          50      9.31139     0.999623   0.00144562  -0.00896089 
          50      9.36438     0.999623   0.00144585  -0.00896081 
          50      9.41751     0.999623   0.00144609  -0.00896073 
          50      9.47079     0.999623   0.00144633  -0.00896065 
          50      9.52422     0.999624   0.00144657  -0.00896057 
          50       9.5778     0.999624   0.00144681  -0.00896049 
          50      9.63153     0.999624   0.00144705  -0.00896041 
          50      9.68542     0.999625   0.00144731  -0.00896033 
          50      9.73945     0.999625   0.00144757  -0.00896025 
          50      9.79363     0.999625   0.00144783  -0.00896017 
          50      9.84797     0.999626    0.0014481  -0.00896009 
          50      9.90245     0.999626   0.00144837  -0.00896001 
          50      9.95708     0.999626   0.00144863  -0.00895993 
          50      10.0119     0.999626   0.00144887  -0.00895984 
          50      10.0668     0.999626   0.00144909  -0.00895976 
          50      10.1219     0.999627    0.0014493  -0.00895968 
          50      10.1771     0.999627   0.00144959  -0.00895961 
          50      10.2325     0.999628   0.00144985  -0.00895953 
          50       10.288     0.999629    0.0014501  -0.00895946 
          50      10.3437     0.999629   0.00145035  -0.00895938 
          50      10.3996      0.99963    0.0014506   -0.0089593 
          50      10.4556      0.99963   0.00145087  -0.00895922 
          50      10.5117      0.99963   0.00145114  -0.00895914 
          50       10.568     0.999631   0.00145141  -0.00895905 
          50      10.6244     0.999631   0.00145169  -0.00895897 
          50       10.681     0.999631   0.00145197  -0.00895889 
          50      10.7377     0.999632   0.00145225  -0.00895881 
          50      10.7946     0.999632   0.00145252  -0.00895873 
          50      10.8517     0.999632   0.00145279  -0.00895865 
          50      10.9089     0.999633   0.00145305  -0.00895857 
          50      10.9662     0.999633   0.00145331  -0.00895848 
          50      11.0237     0.999633   0.00145356   -0.0089584 
          50      11.0813     0.999633   0.00145381  -0.00895832 
          50      11.1391     0.999633   0.00145406  -0.00895824 
          50      11.1971     0.999634   0.00145431  -0.00895815 
          50      11.2552     0.999634   0.00145456  -0.00895807 
          50      11.3134     0.999634   0.00145482  -0.00895799 
          50      11.3718     0.999635   0.00145509   -0.0089579 
          50      11.4303     0.999635   0.00145536  -0.00895781 
          50       11.489     0.999635   0.00145564  -0.00895773 
          50      11.5479     0.999636   0.00145593  -0.00895764 
          50      11.6069     0.999636   0.00145623  -0.00895755 
          50       11.666     0.999637   0.00145652  -0.00895747 
          50      11.7253     0.999637   0.00145682  -0.00895738 
          50      11.7847     0.999638   0.00145711  -0.00895729 
          50      11.8443     0.999638    0.0014574  -0.00895721 
          50      11.9041     0.999638   0.00145767  -0.00895712 
          50       11.964     0.999639   0.00145794  -0.00895703 
          50       12.024     0.999639   0.00145819  -0.00895694 
          50      12.0842     0.999639   0.00145844  -0.00895685 
          50      12.1446      0.99964   0.00145867  -0.00895676 
          50       12.205      0.99964   0.00145891  -0.00895667 
          50      12.2657      0.99964   0.00145916  -0.00895657 
          50      12.3265     0.999641   0.00145943  -0.00895646 
          50      12.3874     0.999641   0.00145975  -0.00895634 
          50      12.4485     0.999642   0.00146014   -0.0089562 
          50      12.5098     0.999642   0.00146045  -0.00895611 
          50      12.5712     0.999642   0.00146077  -0.00895603 
          50      12.6327     0.999642   0.00146109  -0.00895596 
          50      12.6944     0.999642   0.00146139  -0.00895587 
          50      12.7563     0.999641   0.00146163  -0.00895578 
          50      12.8183     0.999642   0.00146177  -0.00895569 
          50      12.8804     0.999643   0.00146183  -0.00895557 
          50      12.9427     0.999643    0.0014625  -0.00895546 
          50      13.0052     0.999644   0.00146294  -0.00895536 
          50      13.0678     0.999644   0.00146326  -0.00895526 
          50      13.1305     0.999644    0.0014635  -0.00895518 
          50      13.1934     0.999645   0.00146372  -0.00895509 
          50      13.2565     0.999645   0.00146394    -0.008955 
          50      13.3197     0.999645   0.00146418  -0.00895491 
          50       13.383     0.999645   0.00146445  -0.00895482 
          50      13.4465     0.999646   0.00146474  -0.00895473 
          50      13.5102     0.999646   0.00146506  -0.00895464 
          50       13.574     0.999647    0.0014654  -0.00895454 
          50      13.6379     0.999647   0.00146574  -0.00895445 
          50       13.702     0.999648   0.00146609  -0.00895437 
          50      13.7663     0.999648   0.00146643  -0.00895428 
          50      13.8307     0.999648   0.00146677   -0.0089542 
          50      13.8952     0.999649   0.00146709  -0.00895413 
          50        13.96     0.999649    0.0014674  -0.00895406 
          50      14.0248      0.99965    0.0014677    -0.008954 
          50      14.0898      0.99965   0.00146799  -0.00895394 
          50       14.155      0.99965   0.00146827  -0.00895389 
          50      14.2203     0.999651   0.00146855  -0.00895384 
          50      14.2857     0.999651   0.00146883  -0.00895379 
          50      14.3513     0.999651    0.0014691  -0.00895371 
          50      14.4171     0.999651   0.00146938  -0.00895364 
          50       14.483     0.999651   0.00146968  -0.00895357 
          50      14.5491     0.999651   0.00146999   -0.0089535 
          50      14.6153     0.999652   0.00147031  -0.00895342 
          50      14.6816     0.999652   0.00147063  -0.00895334 
          50      14.7481     0.999652   0.00147095  -0.00895326 
          50      14.8148     0.999653   0.00147127  -0.00895317 
          50      14.8816     0.999653   0.00147158  -0.00895307 
          50      14.9486     0.999654    0.0014719  -0.00895297 
          50      15.0157     0.999654   0.00147221  -0.00895286 
          50      15.0829     0.999654   0.00147252  -0.00895275 
          50      15.1503     0.999654   0.00147284  -0.00895263 
          50      15.2179     0.999655   0.00147316  -0.00895252 
          50      15.2856     0.999655   0.00147349  -0.00895241 
          50      15.3535     0.999656   0.00147383   -0.0089523 
          50      15.4215     0.999656   0.00147418   -0.0089522 
          50      15.4896     0.999657   0.00147454  -0.00895211 
          50      15.5579     0.999658   0.00147488  -0.00895203 
          50      15.6264     0.999659    0.0014752  -0.00895196 
          50       15.695     0.999659   0.00147547  -0.00895191 
          50      15.7638     0.999659   0.00147563  -0.00895188 
          50      15.8327     0.999658   0.00147561  -0.00895186 
          50      15.9018     0.999657   0.00147578  -0.00895183 
          50       15.971     0.999657   0.00147641  -0.00895175 
          50      16.0403     0.999658   0.00147696  -0.00895167 
          50      16.1098     0.999659   0.00147745  -0.00895159 
          50      16.1795     0.999659   0.00147787   -0.0089515 
          50      16.2493      0.99966   0.00147825  -0.00895141 
          50      16.3193      0.99966   0.00147859  -0.00895131 
          50      16.3894      0.99966    0.0014789  -0.00895122 
          50      16.4597     0.999661   0.00147918  -0.00895112 
          50      16.5301     0.999661   0.00147945  -0.00895101 
          50      16.6007     0.999661    0.0014797  -0.00895089 
          50      16.6714     0.999662   0.00147994  -0.00895076 
          50      16.7422     0.999663   0.00148016  -0.00895063 
          50      16.8133     0.999664   0.00148037  -0.00895048 
          50      16.8844     0.999664   0.00148081  -0.00895028 
          50      16.9557     0.999663   0.00148137  -0.00895005 
          50      17.0272     0.999662   0.00148184  -0.00894985 
          50      17.0988     0.999662   0.00148226  -0.00894967 
          50      17.1706     0.999661   0.00148264  -0.00894951 
          50      17.2425     0.999662     0.001483  -0.00894937 
          50      17.3146     0.999662   0.00148335  -0.00894925 
          50      17.3868     0.999662   0.00148369  -0.00894915 
          50      17.4592     0.999663   0.00148403  -0.00894907 
          50      17.5317     0.999664   0.00148437  -0.00894899 
          50      17.6044     0.999664   0.00148471  -0.00894893 
          50      17.6772     0.999665   0.00148505  -0.00894887 
          50      17.7501     0.999666   0.00148538  -0.00894882 
          50      17.8233     0.999666    0.0014857  -0.00894877 
          50      17.8965     0.999667   0.00148601  -0.00894871 
          50        17.97     0.999667   0.00148631  -0.00894865 
          50      18.0435     0.999668   0.00148661  -0.00894858 
          50      18.1173     0.999668   0.00148691   -0.0089485 
          50      18.1911     0.999668   0.00148721  -0.00894842 
          50      18.2651     0.999669   0.00148752  -0.00894833 
          50      18.3393     0.999669   0.00148785  -0.00894824 
          50      18.4136     0.999669    0.0014882  -0.00894813 
          50      18.4881     0.999669   0.00148856  -0.00894803 
          50      18.5627     0.999669   0.00148895  -0.00894792 
          50      18.6375     0.999669   0.00148934  -0.00894782 
          50      18.7124     0.999669   0.00148973  -0.00894772 
          50      18.7875      0.99967   0.00149011  -0.00894762 
          50      18.8627      0.99967   0.00149046  -0.00894752 
          50      18.9381      0.99967   0.00149077  -0.00894743 
          50      19.0136      0.99967   0.00149103  -0.00894734 
          50      19.0893      0.99967   0.00149125  -0.00894726 
          50      19.1651     0.999671   0.00149147  -0.00894716 
          50      19.2411     0.999671   0.00149175  -0.00894705 
          50      19.3173     0.999671   0.00149223  -0.00894691 
