Variables = x, y, u, v, p

Zone, I=400, F=POINT
          20            0  3.25904e-18 -2.43009e-26   0.00191304 
          20     0.644927      0.37279   0.00101496   0.00192527 
          20      0.68027     0.390703   0.00102849   0.00192612 
          20     0.716541     0.409109   0.00104367   0.00192697 
          20     0.753754     0.427991   0.00106124    0.0019278 
          20     0.791909     0.447317   0.00108149   0.00192861 
          20     0.831022     0.467049   0.00110452   0.00192939 
          20     0.871061      0.48712   0.00113021   0.00193012 
          20     0.912043     0.507484   0.00115834   0.00193078 
          20     0.953966     0.528085   0.00118864   0.00193136 
          20     0.996849     0.548871    0.0012208   0.00193184 
          20      1.04066     0.569769   0.00125452   0.00193223 
          20      1.08541     0.590726   0.00128954   0.00193248 
          20      1.13112     0.611692   0.00132564   0.00193259 
          20      1.17775      0.63259   0.00136256   0.00193254 
          20      1.22533     0.653365   0.00140013   0.00193229 
          20      1.27384     0.673956   0.00143814   0.00193184 
          20      1.32333     0.694308   0.00147643   0.00193115 
          20      1.37373     0.714339   0.00151476   0.00193021 
          20      1.42507     0.733993   0.00155298     0.001929 
          20      1.47736     0.753206   0.00159086   0.00192749 
          20      1.53061     0.771921   0.00162821   0.00192565 
          20      1.58478     0.790061   0.00166479   0.00192348 
          20      1.63989     0.807575    0.0017004   0.00192095 
          20      1.69595     0.824405   0.00173482   0.00191804 
          20      1.75297     0.840507   0.00176782   0.00191474 
          20      1.81091     0.855823   0.00179917   0.00191103 
          20      1.86979     0.870317   0.00182868   0.00190689 
          20      1.92964     0.883964   0.00185618   0.00190232 
          20       1.9904     0.896726   0.00188146   0.00189731 
          20      2.05211     0.908594   0.00190439   0.00189184 
          20      2.11476      0.91956   0.00192484   0.00188592 
          20      2.17838     0.929628   0.00194272   0.00187955 
          20      2.24291       0.9388   0.00195796   0.00187272 
          20      2.30839       0.9471   0.00197052   0.00186543 
          20       2.3748     0.954555   0.00198041    0.0018577 
          20      2.44219     0.961199   0.00198767   0.00184952 
          20      2.51049      0.96707   0.00199235   0.00184091 
          20      2.57974     0.972217   0.00199454   0.00183188 
          20      2.64993     0.976689   0.00199437   0.00182244 
          20      2.72108     0.980543   0.00199199   0.00181259 
          20      2.79315      0.98383   0.00198756   0.00180235 
          20      2.86617     0.986609   0.00198126   0.00179175 
          20      2.94012     0.988936   0.00197326   0.00178079 
          20      3.01505     0.990866   0.00196378   0.00176947 
          20      3.09089      0.99245   0.00195301   0.00175783 
          20      3.16767     0.993736   0.00194113   0.00174588 
          20      3.24542      0.99477   0.00192832   0.00173361 
          20      3.32409     0.995591   0.00191476   0.00172106 
          20       3.4037     0.996238   0.00190062   0.00170824 
          20      3.48425     0.996742   0.00188604   0.00169516 
          20      3.56577     0.997131   0.00187114   0.00168183 
          20       3.6482     0.997428   0.00185604   0.00166827 
          20      3.73158     0.997653   0.00184086   0.00165449 
          20       3.8159     0.997822   0.00182567   0.00164051 
          20      3.90119     0.997949   0.00181051   0.00162632 
          20       3.9874     0.998045   0.00179551   0.00161196 
          20      4.07454     0.998116   0.00178068   0.00159743 
          20      4.16263     0.998171   0.00176607   0.00158275 
          20      4.25169     0.998213   0.00175169   0.00156792 
          20      4.34166     0.998246   0.00173758   0.00155297 
          20      4.43258     0.998274   0.00172375    0.0015379 
          20      4.52447     0.998298   0.00171023   0.00152272 
          20      4.61726     0.998318   0.00169702   0.00150746 
          20        4.711     0.998337   0.00168412   0.00149212 
          20      4.80569     0.998355   0.00167155   0.00147672 
          20      4.90135     0.998373   0.00165929   0.00146125 
          20      4.99791     0.998389   0.00164737   0.00144575 
          20      5.09542     0.998406   0.00163578   0.00143022 
          20      5.19387     0.998422   0.00162449   0.00141465 
          20       5.2933     0.998438   0.00161356   0.00139908 
          20      5.39364     0.998455   0.00160293   0.00138351 
          20      5.49491     0.998471   0.00159262   0.00136796 
          20      5.59713     0.998487   0.00158264   0.00135242 
          20      5.70033     0.998503   0.00157296   0.00133691 
          20      5.80443     0.998519    0.0015636   0.00132145 
          20      5.90948     0.998535   0.00155454   0.00130604 
          20      6.01551     0.998551   0.00154577   0.00129068 
          20      6.12244     0.998567    0.0015373   0.00127538 
          20      6.23031     0.998583   0.00152912   0.00126016 
          20      6.33912     0.998598   0.00152123   0.00124502 
          20      6.44892     0.998614   0.00151362   0.00122996 
          20      6.55962     0.998629   0.00150628   0.00121499 
          20      6.67126     0.998645   0.00149921   0.00120013 
          20      6.78384      0.99866   0.00149241   0.00118537 
          20      6.89741     0.998676   0.00148585   0.00117072 
          20      7.01187     0.998691   0.00147955   0.00115618 
          20      7.12728     0.998706   0.00147349   0.00114177 
          20      7.24363     0.998721   0.00146767   0.00112748 
          20      7.36097     0.998735   0.00146207   0.00111332 
          20       7.4792      0.99875   0.00145671   0.00109929 
          20      7.59838     0.998765   0.00145156   0.00108539 
          20      7.71854     0.998779   0.00144663   0.00107162 
          20       7.8396     0.998793   0.00144191   0.00105801 
          20      7.96161     0.998807   0.00143738   0.00104455 
          20      8.08455     0.998821   0.00143308   0.00103122 
          20      8.20849     0.998835   0.00142894   0.00101804 
          20      8.33332     0.998849   0.00142497   0.00100501 
          20      8.45909     0.998862    0.0014212  0.000992126 
          20       8.5858     0.998876   0.00141757  0.000979385 
          20      8.71351     0.998889   0.00141414  0.000966793 
          20       8.8421     0.998902   0.00141087   0.00095437 
          20      8.97164     0.998915   0.00140776  0.000942123 
          20      9.10212     0.998928   0.00140478  0.000930004 
          20       9.2336     0.998941   0.00140194  0.000918031 
          20      9.36596     0.998953   0.00139925  0.000906229 
          20      9.49927     0.998966   0.00139671  0.000894583 
          20      9.63352     0.998978    0.0013943  0.000883089 
          20      9.76877      0.99899   0.00139201  0.000871743 
          20       9.9049     0.999002   0.00138983  0.000860555 
          20       10.042     0.999014   0.00138776  0.000849518 
          20      10.1801     0.999026   0.00138583  0.000838627 
          20       10.319     0.999037     0.001384  0.000827887 
          20      10.4589     0.999048   0.00138227  0.000817295 
          20      10.5998      0.99906   0.00138062  0.000806852 
          20      10.7416     0.999071   0.00137907  0.000796564 
          20      10.8843     0.999081   0.00137764  0.000786437 
          20       11.028     0.999092    0.0013763  0.000776459 
          20      11.1726     0.999103   0.00137504  0.000766621 
          20      11.3182     0.999114   0.00137385  0.000756916 
          20      11.4647     0.999124   0.00137275  0.000747351 
          20      11.6122     0.999134   0.00137171  0.000737928 
          20      11.7605     0.999144   0.00137074  0.000728662 
          20      11.9099     0.999154   0.00136985  0.000719525 
          20      12.0602     0.999164   0.00136905  0.000710533 
          20      12.2114     0.999174    0.0013683  0.000701654 
          20      12.3636     0.999183   0.00136762  0.000692904 
          20      12.5167     0.999193     0.001367  0.000684302 
          20      12.6707     0.999202   0.00136642  0.000675834 
          20      12.8257     0.999211   0.00136589  0.000667494 
          20      12.9817      0.99922   0.00136542  0.000659274 
          20      13.1386     0.999229   0.00136502  0.000651181 
          20      13.2964     0.999238   0.00136466  0.000643212 
          20      13.4551     0.999247   0.00136435  0.000635366 
          20      13.6149     0.999256   0.00136407  0.000627639 
          20      13.7755     0.999264   0.00136383  0.000620035 
          20      13.9371     0.999272   0.00136363  0.000612545 
          20      14.0996     0.999281   0.00136348   0.00060517 
          20      14.2631     0.999289   0.00136337  0.000597913 
          20      14.4275     0.999297   0.00136333  0.000590799 
          20      14.5928     0.999305   0.00136316  0.000583743 
          20      14.7592     0.999313    0.0013632  0.000576839 
          20      14.9264     0.999321   0.00136327  0.000569999 
          20      15.0946     0.999328   0.00136328  0.000563284 
          20      15.2637     0.999336   0.00136332  0.000556687 
          20      15.4338     0.999343    0.0013634  0.000550194 
          20      15.6048      0.99935   0.00136355  0.000543803 
          20      15.7767     0.999358   0.00136372  0.000537507 
          20      15.9496     0.999365   0.00136391  0.000531305 
          20      16.1235     0.999372    0.0013641  0.000525195 
          20      16.2982     0.999379   0.00136431  0.000519185 
          20      16.4739     0.999386   0.00136453  0.000513272 
          20      16.6506     0.999393   0.00136479  0.000507458 
          20      16.8282       0.9994   0.00136508  0.000501737 
          20      17.0068     0.999406   0.00136539  0.000496112 
          20      17.1862     0.999413   0.00136571  0.000490573 
          20      17.3667      0.99942   0.00136603  0.000485115 
          20      17.5481     0.999426   0.00136635  0.000479741 
          20      17.7304     0.999432   0.00136674   0.00047446 
          20      17.9136     0.999438   0.00136705  0.000469269 
          20      18.0979     0.999445   0.00136744  0.000464156 
          20       18.283     0.999451   0.00136784  0.000459118 
          20      18.4691     0.999457   0.00136824  0.000454154 
          20      18.6561     0.999463   0.00136866  0.000449271 
          20      18.8441     0.999469   0.00136909  0.000444471 
          20       19.033     0.999474   0.00136953  0.000439757 
          20      19.2228      0.99948   0.00136998   0.00043512 
          20      19.4136     0.999485   0.00137043   0.00043055 
          20      19.6054     0.999491    0.0013709  0.000426037 
          20       19.798     0.999497   0.00137137  0.000421599 
          20      19.9917     0.999502   0.00137181  0.000417245 
          20      20.1862     0.999508    0.0013723  0.000412948 
          20      20.3818     0.999513   0.00137277  0.000408735 
          20      20.5782     0.999518   0.00137326  0.000404597 
          20      20.7756     0.999523   0.00137377  0.000400526 
          20       20.974     0.999529    0.0013743  0.000396518 
          20      21.1732     0.999534   0.00137483  0.000392573 
          20      21.3734     0.999539   0.00137534  0.000388688 
          20      21.5745     0.999544   0.00137583  0.000384863 
          20      21.7767     0.999549   0.00137634  0.000381104 
          20      21.9797     0.999553   0.00137692  0.000377414 
          20      22.1837     0.999558   0.00137736   0.00037376 
          20      22.3886     0.999563   0.00137791  0.000370185 
          20      22.5945     0.999568   0.00137848  0.000366673 
          20      22.8013     0.999572   0.00137904   0.00036322 
          20      23.0091     0.999577   0.00137957  0.000359819 
          20      23.2177     0.999581   0.00138009  0.000356472 
          20      23.4274     0.999586   0.00138061  0.000353176 
          20       23.638      0.99959   0.00138113  0.000349936 
          20      23.8495     0.999595   0.00138166  0.000346752 
          20       24.062     0.999599   0.00138221  0.000343622 
          20      24.2754     0.999604   0.00138277  0.000340547 
          20      24.4897     0.999608   0.00138333  0.000337525 
          20       24.705     0.999612   0.00138389  0.000334552 
          20      24.9213     0.999616   0.00138444  0.000331626 
          20      25.1385      0.99962   0.00138498  0.000328745 
          20      25.3566     0.999624    0.0013855  0.000325909 
          20      25.5756     0.999628   0.00138602  0.000323117 
          20      25.7957     0.999632   0.00138653  0.000320371 
          20      26.0166     0.999637   0.00138706   0.00031768 
          20      26.2385      0.99964   0.00138761  0.000315052 
          20      26.4613     0.999643    0.0013882    0.0003125 
          20      26.6851     0.999648   0.00138875  0.000309984 
          20      26.9098     0.999652   0.00138924  0.000307435 
          20      27.1354     0.999654    0.0013896   0.00030489 
          20      27.3621     0.999659   0.00139043  0.000302566 
          20      27.5896     0.999663   0.00139092  0.000300224 
          20      27.8181     0.999667   0.00139135  0.000297889 
          20      28.0475      0.99967   0.00139182  0.000295579 
          20      28.2779     0.999674   0.00139235    0.0002933 
          20      28.5092     0.999677   0.00139291  0.000291056 
          20      28.7414      0.99968   0.00139345  0.000288847 
          20      28.9746     0.999684   0.00139394  0.000286675 
          20      29.2088     0.999687   0.00139452  0.000284635 
          20      29.4439      0.99969   0.00139505   0.00028261 
          20      29.6799     0.999693   0.00139554  0.000280601 
          20      29.9168     0.999697   0.00139601  0.000278613 
          20      30.1548       0.9997    0.0013965  0.000276652 
          20      30.3936     0.999704     0.001397  0.000274725 
          20      30.6334     0.999707   0.00139752  0.000272838 
          20      30.8742      0.99971   0.00139804  0.000270991 
          20      31.1158     0.999713   0.00139856  0.000269184 
          20      31.3584     0.999716   0.00139906  0.000267414 
          20       31.602     0.999719   0.00139953  0.000265673 
          20      31.8465     0.999722   0.00139999  0.000263956 
          20      32.0919     0.999725   0.00140043  0.000262265 
          20      32.3383     0.999728    0.0014009  0.000260617 
          20      32.5856      0.99973   0.00140139  0.000259023 
          20       32.834     0.999734   0.00140185  0.000257402 
          20      33.0831     0.999737   0.00140239  0.000255858 
          20      33.3333      0.99974   0.00140283  0.000254359 
          20      33.5843     0.999742   0.00140316  0.000252882 
          20      33.8364     0.999744   0.00140371   0.00025152 
          20      34.0894     0.999746   0.00140431  0.000250118 
          20      34.3433      0.99975   0.00140485  0.000248689 
          20      34.5981     0.999753   0.00140531  0.000247265 
          20       34.854     0.999757   0.00140569   0.00024587 
          20      35.1107     0.999759   0.00140603   0.00024452 
          20      35.3684     0.999762   0.00140637   0.00024322 
          20      35.6271     0.999764   0.00140675  0.000241967 
          20      35.8867     0.999766   0.00140718  0.000240754 
          20      36.1472     0.999769   0.00140767  0.000239571 
          20      36.4086     0.999771   0.00140819  0.000238407 
          20      36.6711     0.999774    0.0014087  0.000237255 
          20      36.9344     0.999777   0.00140918  0.000236111 
          20      37.1987     0.999779   0.00140958  0.000234979 
          20      37.4639     0.999781   0.00140993  0.000233867 
          20      37.7301     0.999783   0.00141025  0.000232788 
          20      37.9972     0.999785   0.00141061  0.000231754 
          20      38.2652     0.999787   0.00141108   0.00023077 
          20      38.5342      0.99979   0.00141165  0.000229822 
          20      38.8042     0.999793    0.0014121  0.000228864 
          20      39.0751     0.999795   0.00141199   0.00022783 
          20      39.3469     0.999798   0.00141289  0.000227044 
          20      39.6197     0.999801   0.00141323  0.000226168 
          20      39.8934     0.999802   0.00141342  0.000225277 
          20       40.168     0.999804   0.00141369  0.000224407 
          20      40.4436     0.999805   0.00141407  0.000223574 
          20      40.7202     0.999807   0.00141453  0.000222778 
          20      40.9977      0.99981   0.00141503  0.000222013 
          20      41.2761     0.999812   0.00141549  0.000221273 
          20      41.5554     0.999815   0.00141589   0.00022055 
          20      41.8358     0.999817    0.0014162   0.00021984 
          20       42.117     0.999819   0.00141645  0.000219138 
          20      42.3992     0.999821   0.00141675  0.000218435 
          20      42.6823     0.999824    0.0014173  0.000217708 
          20      42.9664     0.999825   0.00141743  0.000217081 
          20      43.2514     0.999827   0.00141766  0.000216471 
          20      43.5373     0.999828   0.00141801  0.000215866 
          20      43.8243      0.99983   0.00141844  0.000215271 
          20      44.1121     0.999832    0.0014189  0.000214693 
          20      44.4009     0.999834   0.00141934  0.000214139 
          20      44.6906     0.999836   0.00141973  0.000213614 
          20      44.9813     0.999838   0.00142005  0.000213119 
          20      45.2729      0.99984   0.00142032  0.000212654 
          20      45.5654     0.999842   0.00142053  0.000212214 
          20      45.8589     0.999843   0.00142073   0.00021179 
          20      46.1534     0.999845   0.00142095  0.000211378 
          20      46.4488     0.999846   0.00142121  0.000210975 
          20      46.7451     0.999848   0.00142153  0.000210586 
          20      47.0423     0.999849    0.0014219  0.000210232 
          20      47.3406     0.999852   0.00142223  0.000209957 
          20      47.6397     0.999854   0.00142272  0.000209576 
          20      47.9398     0.999855   0.00142317  0.000209176 
          20      48.2409     0.999856   0.00142346  0.000208849 
          20      48.5428     0.999857   0.00142362  0.000208556 
          20      48.8457     0.999859   0.00142375  0.000208279 
          20      49.1496     0.999861   0.00142395  0.000208015 
          20      49.4545     0.999863   0.00142427  0.000207765 
          20      49.7602     0.999865   0.00142469  0.000207533 
          20      50.0668     0.999866   0.00142509   0.00020732 
          20      50.3744     0.999867   0.00142526  0.000207126 
          20      50.6831     0.999868   0.00142516  0.000206947 
          20      50.9926     0.999869   0.00142529  0.000206777 
          20       51.303     0.999872   0.00142621  0.000206617 
          20      51.6144     0.999872   0.00142606  0.000206497 
          20      51.9268     0.999873    0.0014265  0.000206386 
          20        52.24     0.999875   0.00142707  0.000206282 
          20      52.5542     0.999876   0.00142756  0.000206183 
          20      52.8694     0.999878   0.00142788  0.000206091 
          20      53.1856      0.99988   0.00142804  0.000206009 
          20      53.5026     0.999882   0.00142811  0.000205939 
          20      53.8205     0.999883   0.00142814  0.000205886 
          20      54.1396     0.999884   0.00142821   0.00020585 
          20      54.4594     0.999885   0.00142835  0.000205834 
          20      54.7802     0.999886   0.00142857  0.000205839 
          20      55.1019     0.999887   0.00142886  0.000205865 
          20      55.4247     0.999888   0.00142921   0.00020591 
          20      55.7483     0.999889   0.00142956  0.000205972 
          20      56.0729      0.99989   0.00142989  0.000206051 
          20      56.3984     0.999892   0.00143017  0.000206143 
          20       56.725     0.999893   0.00143038  0.000206246 
          20      57.0523     0.999894   0.00143051   0.00020636 
          20      57.3807     0.999895   0.00143058  0.000206483 
          20      57.7099     0.999896   0.00143062  0.000206615 
          20      58.0403     0.999897   0.00143068  0.000206758 
          20      58.3714     0.999898   0.00143079  0.000206915 
          20      58.7035     0.999899   0.00143098  0.000207088 
          20      59.0367       0.9999   0.00143128  0.000207281 
          20      59.3707       0.9999   0.00143167  0.000207499 
          20      59.7056     0.999901    0.0014321  0.000207744 
          20      60.0414     0.999902   0.00143251  0.000208017 
          20      60.3784     0.999903    0.0014328  0.000208315 
          20      60.7161     0.999904   0.00143289  0.000208629 
          20      61.0548     0.999906   0.00143275   0.00020894 
          20      61.3944     0.999907   0.00143248  0.000209221 
          20      61.7351     0.999907   0.00143241  0.000209426 
          20      62.0767     0.999906   0.00143376  0.000209387 
          20      62.4191     0.999906   0.00143379  0.000209417 
          20      62.7625     0.999911   0.00143326  0.000210072 
          20       63.107     0.999913   0.00143329  0.000210658 
          20      63.4523     0.999914   0.00143358  0.000211164 
          20      63.7985     0.999914   0.00143394  0.000211612 
          20      64.1458     0.999913   0.00143428  0.000212019 
          20      64.4939     0.999912   0.00143455  0.000212399 
          20       64.843     0.999912   0.00143474  0.000212766 
          20      65.1929     0.999912   0.00143488  0.000213128 
          20       65.544     0.999913   0.00143499  0.000213494 
          20      65.8959     0.999915   0.00143509   0.00021387 
          20      66.2487     0.999918    0.0014352  0.000214261 
          20      66.6025      0.99992   0.00143533  0.000214671 
          20      66.9573     0.999922   0.00143548  0.000215103 
          20       67.313     0.999924   0.00143565  0.000215558 
          20      67.6695     0.999924   0.00143584  0.000216038 
          20      68.0271     0.999924   0.00143602  0.000216543 
          20      68.3857     0.999924    0.0014362  0.000217074 
          20      68.7451     0.999923   0.00143636  0.000217628 
          20      69.1055     0.999922   0.00143649  0.000218206 
          20      69.4669      0.99992    0.0014366  0.000218805 
          20      69.8291      0.99992   0.00143669  0.000219424 
          20      70.1923      0.99992   0.00143679   0.00022006 
          20      70.5564     0.999921   0.00143689  0.000220711 
          20      70.9217     0.999923   0.00143703  0.000221374 
          20      71.2877     0.999925   0.00143721  0.000222045 
          20      71.6546     0.999927   0.00143744  0.000222721 
          20      72.0225     0.999929   0.00143772    0.0002234 
          20      72.3915      0.99993   0.00143805  0.000224078 
          20      72.7613     0.999928   0.00143839  0.000224751 
          20       73.132     0.999925   0.00143871  0.000225418 
          20      73.5036     0.999921   0.00143895  0.000226076 
          20      73.8764     0.999919   0.00143908  0.000226726 
          20      74.2499     0.999925   0.00143905  0.000227368 
          20      74.6244     0.999947   0.00143885  0.000228004 
          20           75            1   0.00143857   0.00022864 
